iter	Passed	Remaining
0	1	1098
1	1	898
2	2	808
3	3	787
4	4	819
5	4	794
6	5	782
7	6	806
8	7	811
9	8	801
10	8	792
11	9	797
12	10	786
13	10	773
14	11	764
15	12	762
16	13	756
17	13	753
18	14	748
19	15	750
20	16	747
21	16	743
22	17	737
23	17	730
24	18	730
25	19	730
26	20	726
27	21	731
28	21	734
29	22	733
30	23	730
31	24	729
32	24	731
33	25	729
34	26	728
35	27	728
36	27	724
37	28	721
38	29	722
39	29	718
40	30	716
41	31	715
42	32	714
43	32	713
44	33	713
45	34	712
46	34	709
47	35	708
48	37	729
49	38	729
50	39	730
51	39	728
52	40	726
53	41	724
54	42	722
55	42	719
56	43	716
57	43	714
58	44	711
59	45	708
60	45	707
61	46	707
62	47	706
63	48	703
64	48	700
65	49	698
66	50	697
67	50	698
68	52	701
69	52	699
70	53	698
71	54	697
72	54	696
73	55	695
74	56	693
75	56	691
76	57	688
77	58	686
78	58	683
79	59	683
80	60	680
81	60	680
82	61	675
83	61	674
84	62	673
85	100	1066
86	101	1066
87	102	1062
88	103	1057
89	104	1052
90	104	1047
91	105	1042
92	106	1041
93	107	1037
94	108	1031
95	109	1026
96	109	1021
97	110	1016
98	111	1010
99	111	1006
100	112	1001
101	113	999
102	114	997
103	115	992
104	116	991
105	117	989
106	118	987
107	118	982
108	119	977
109	120	974
110	121	969
111	121	964
112	122	960
113	124	966
114	125	966
115	129	983
116	130	985
117	131	981
118	132	979
119	133	976
120	133	971
121	134	970
122	135	965
123	136	962
124	137	959
125	138	957
126	138	954
127	139	950
128	140	947
129	140	943
130	141	941
131	142	937
132	143	936
133	144	932
134	145	930
135	146	928
136	147	929
137	148	926
138	149	923
139	149	919
140	150	915
141	150	910
142	151	906
143	151	903
144	152	899
145	153	896
146	153	892
147	154	889
148	155	886
149	155	883
150	156	880
151	157	877
152	157	874
153	158	871
154	159	870
155	160	869
156	161	867
157	162	864
158	163	862
159	163	859
160	164	854
161	164	852
162	165	849
163	166	848
164	167	846
165	167	843
166	168	841
167	169	838
168	169	835
169	170	833
170	171	830
171	172	828
172	172	825
173	173	822
174	173	819
175	174	817
176	175	816
177	176	814
178	177	812
179	177	810
180	178	808
181	179	805
182	180	803
183	180	801
184	181	799
185	182	797
186	182	795
187	183	792
188	184	790
189	184	788
190	185	785
191	186	784
192	187	781
193	187	779
194	188	777
195	189	776
196	189	774
197	190	772
198	191	772
199	192	770
200	193	768
201	193	765
202	194	763
203	195	761
204	195	759
205	196	757
206	197	755
207	197	753
208	198	751
209	199	749
210	199	747
211	200	745
212	201	743
213	201	741
214	202	739
215	203	737
216	203	735
217	204	733
218	205	732
219	206	731
220	207	730
221	207	728
222	208	726
223	209	725
224	210	723
225	210	721
226	211	719
227	211	717
228	212	715
229	213	714
230	213	712
231	214	710
232	215	708
233	215	706
234	216	705
235	217	703
236	217	701
237	218	699
238	218	697
239	219	695
240	220	694
241	221	694
242	222	692
243	223	691
244	223	690
245	224	688
246	225	686
247	225	684
248	226	683
249	227	682
250	228	680
251	228	679
252	229	677
253	230	675
254	230	673
255	231	672
256	231	670
257	232	668
258	233	667
259	234	666
260	234	664
261	235	663
262	236	662
263	237	661
264	237	659
265	238	658
266	239	656
267	239	655
268	240	653
269	241	652
270	242	651
271	242	649
272	243	647
273	243	646
274	244	644
275	245	643
276	245	641
277	246	640
278	247	638
279	247	637
280	248	635
281	249	634
282	250	633
283	251	633
284	252	633
285	253	632
286	253	630
287	254	629
288	255	627
289	255	626
290	256	625
291	257	624
292	258	622
293	258	621
294	259	620
295	260	618
296	260	617
297	261	615
298	261	614
299	262	612
300	263	611
301	263	610
302	264	608
303	265	607
304	266	607
305	267	606
306	268	605
307	269	604
308	269	603
309	270	602
310	271	600
311	271	599
312	272	598
313	273	597
314	274	597
315	275	596
316	276	595
317	277	594
318	278	593
319	279	593
320	280	593
321	282	594
322	283	593
323	284	593
324	285	592
325	285	590
326	286	589
327	287	588
328	288	588
329	289	587
330	290	586
331	290	585
332	291	584
333	292	583
334	293	581
335	294	581
336	295	581
337	296	581
338	298	581
339	299	581
340	300	579
341	300	578
342	301	577
343	302	576
344	302	575
345	304	574
346	304	573
347	305	572
348	306	571
349	306	569
350	307	568
351	308	567
352	309	566
353	310	566
354	311	565
